true_label,edge_pred,final_pred,confidence,margin,route,threshold_used,margin_threshold_used,transmitted_bytes,used_cloud,sent_embedding,embedding_l2
car_horn,gun_shot,children_playing,0.60364527,0.4466628,raw_audio,0.8160000000000001,0.204,128000,True,False,12.584251
car_horn,gun_shot,car_horn,0.7565415,0.66307414,raw_audio,0.8440000000000001,0.17399999999999996,128000,True,False,13.518694
car_horn,gun_shot,car_horn,0.44166487,0.20696339,raw_audio,0.8720000000000001,0.14399999999999996,128000,True,False,12.715953
car_horn,gun_shot,car_horn,0.75599223,0.6674518,raw_audio,0.9000000000000001,0.11399999999999996,128000,True,False,13.211707
car_horn,gun_shot,car_horn,0.721927,0.64034134,raw_audio,0.9280000000000002,0.08399999999999996,128000,True,False,12.755711
dog_bark,dog_bark,dog_bark,0.6191085,0.2579202,raw_audio,0.8560000000000001,0.05,128000,True,False,26.284534
dog_bark,dog_bark,dog_bark,0.5673478,0.14530513,raw_audio,0.8906666666666668,0.05,128000,True,False,26.998875
dog_bark,siren,dog_bark,0.5632412,0.13752696,raw_audio,0.95,0.07100000000000001,128000,True,False,27.210592
dog_bark,dog_bark,dog_bark,0.6182288,0.24272892,raw_audio,0.946,0.05,128000,True,False,28.434862
children_playing,dog_bark,children_playing,0.7269621,0.56221855,raw_audio,0.946,0.05,128000,True,False,20.79963
children_playing,dog_bark,children_playing,0.8035172,0.6859498,raw_audio,0.946,0.05,128000,True,False,23.158009
children_playing,dog_bark,children_playing,0.8208335,0.747639,raw_audio,0.946,0.05,128000,True,False,19.220472
children_playing,dog_bark,children_playing,0.85539466,0.766905,raw_audio,0.946,0.05,128000,True,False,19.434431
children_playing,dog_bark,engine_idling,0.7579587,0.6287806,raw_audio,0.946,0.05,128000,True,False,17.782356
children_playing,dog_bark,children_playing,0.7126558,0.57579726,raw_audio,0.946,0.05,128000,True,False,20.397364
children_playing,dog_bark,dog_bark,0.67371094,0.48911223,raw_audio,0.946,0.05,128000,True,False,20.65852
children_playing,dog_bark,children_playing,0.59600484,0.3160931,raw_audio,0.946,0.05,128000,True,False,21.214365
dog_bark,gun_shot,dog_bark,0.51517737,0.2577569,raw_audio,0.95,0.07400000000000001,128000,True,False,12.487678
dog_bark,gun_shot,siren,0.38821706,0.107332766,raw_audio,0.95,0.07400000000000001,128000,True,False,12.795355
engine_idling,drilling,drilling,0.3733326,0.054427654,raw_audio,0.9349999999999999,0.05,128000,True,False,16.096544
engine_idling,drilling,engine_idling,0.34948504,0.04662454,raw_audio,0.9349999999999999,0.05,128000,True,False,16.569948
engine_idling,engine_idling,engine_idling,0.40995622,0.10904455,raw_audio,0.9169999999999999,0.05,128000,True,False,17.921951
engine_idling,drilling,engine_idling,0.335819,0.028780729,raw_audio,0.9349999999999999,0.05,128000,True,False,16.754171
engine_idling,drilling,engine_idling,0.33491898,0.009509027,raw_audio,0.9349999999999999,0.05,128000,True,False,16.63666
engine_idling,engine_idling,engine_idling,0.42795235,0.14884958,raw_audio,0.9169999999999999,0.05,128000,True,False,17.217815
engine_idling,engine_idling,engine_idling,0.42753476,0.17149177,raw_audio,0.9169999999999999,0.05,128000,True,False,16.94436
engine_idling,engine_idling,engine_idling,0.42233813,0.15233359,raw_audio,0.9169999999999999,0.05,128000,True,False,16.614647
engine_idling,engine_idling,engine_idling,0.4713235,0.22149682,raw_audio,0.9169999999999999,0.05,128000,True,False,17.245335
engine_idling,engine_idling,engine_idling,0.42053843,0.12564418,raw_audio,0.9169999999999999,0.05,128000,True,False,17.546251
