true_label,edge_pred,final_pred,confidence,margin,route,threshold_used,margin_threshold_used,transmitted_bytes,used_cloud,sent_embedding,embedding_l2
car_horn,gun_shot,children_playing,0.60364527,0.4466628,raw_audio,0.8160000000000001,0.204,128000,True,False,12.584251
car_horn,gun_shot,car_horn,0.7565415,0.66307414,raw_audio,0.788,0.234,128000,True,False,13.518694
car_horn,gun_shot,car_horn,0.44166487,0.20696339,raw_audio,0.76,0.26400000000000007,128000,True,False,12.715953
car_horn,gun_shot,gun_shot,0.75599223,0.6674518,alert_only,0.732,0.2940000000000001,64,False,False,13.211707
car_horn,gun_shot,car_horn,0.721927,0.64034134,raw_audio,0.724,0.3240000000000001,128000,True,False,12.755711
dog_bark,dog_bark,dog_bark,0.6191085,0.2579202,embedding,0.6119999999999999,0.3300000000000001,320,False,True,26.284534
dog_bark,dog_bark,dog_bark,0.5673478,0.14530513,raw_audio,0.6039999999999999,0.35,128000,True,False,26.998875
dog_bark,siren,dog_bark,0.5632412,0.13752696,raw_audio,0.6724285714285714,0.35,128000,True,False,27.210592
dog_bark,dog_bark,dog_bark,0.6182288,0.24272892,embedding,0.5694285714285713,0.35,320,False,True,28.434862
children_playing,dog_bark,dog_bark,0.7269621,0.56221855,alert_only,0.5547619047619047,0.35,64,False,False,20.79963
children_playing,dog_bark,dog_bark,0.8035172,0.6859498,alert_only,0.5467619047619047,0.35,64,False,False,23.158009
children_playing,dog_bark,dog_bark,0.8208335,0.747639,alert_only,0.54421645021645,0.35,64,False,False,19.220472
children_playing,dog_bark,dog_bark,0.85539466,0.766905,alert_only,0.54621645021645,0.35,64,False,False,19.434431
children_playing,dog_bark,dog_bark,0.7579587,0.6287806,alert_only,0.5520626040626039,0.35,64,False,False,17.782356
children_playing,dog_bark,dog_bark,0.7126558,0.57579726,alert_only,0.5612054612054611,0.35,64,False,False,20.397364
children_playing,dog_bark,dog_bark,0.67371094,0.48911223,alert_only,0.5732054612054611,0.35,64,False,False,20.65852
children_playing,dog_bark,dog_bark,0.59600484,0.3160931,embedding,0.5877054612054611,0.35,320,False,True,21.214365
dog_bark,gun_shot,dog_bark,0.51517737,0.2577569,raw_audio,0.7044113435584024,0.35,128000,True,False,12.487678
dog_bark,gun_shot,dog_bark,0.38821706,0.107332766,raw_audio,0.7186335657806247,0.35,128000,True,False,12.795355
engine_idling,drilling,engine_idling,0.3733326,0.054427654,raw_audio,0.6196335657806246,0.347,128000,True,False,16.096544
engine_idling,drilling,engine_idling,0.34948504,0.04662454,raw_audio,0.6296335657806246,0.347,128000,True,False,16.569948
engine_idling,engine_idling,engine_idling,0.40995622,0.10904455,raw_audio,0.6198240419711007,0.34099999999999997,128000,True,False,17.921951
engine_idling,drilling,engine_idling,0.335819,0.028780729,raw_audio,0.6425513146983735,0.347,128000,True,False,16.754171
engine_idling,drilling,dog_bark,0.33491898,0.009509027,raw_audio,0.6458556625244605,0.347,128000,True,False,16.63666
engine_idling,engine_idling,engine_idling,0.42795235,0.14884958,raw_audio,0.6298556625244605,0.34099999999999997,128000,True,False,17.217815
engine_idling,engine_idling,engine_idling,0.42753476,0.17149177,raw_audio,0.6290556625244604,0.34099999999999997,128000,True,False,16.94436
engine_idling,engine_idling,engine_idling,0.42233813,0.15233359,raw_audio,0.625671047139845,0.34099999999999997,128000,True,False,16.614647
engine_idling,engine_idling,engine_idling,0.4713235,0.22149682,raw_audio,0.6198932693620672,0.34099999999999997,128000,True,False,17.245335
engine_idling,engine_idling,engine_idling,0.42053843,0.12564418,raw_audio,0.6118932693620672,0.34099999999999997,128000,True,False,17.546251
engine_idling,engine_idling,engine_idling,0.35343686,0.02116564,raw_audio,0.6018243038448259,0.34099999999999997,128000,True,False,17.204304
engine_idling,engine_idling,engine_idling,0.37215784,0.07419148,raw_audio,0.589824303844826,0.34099999999999997,128000,True,False,17.404146
engine_idling,drilling,engine_idling,0.3732018,0.0636853,raw_audio,0.5940178522319227,0.347,128000,True,False,16.502186
engine_idling,engine_idling,engine_idling,0.4968994,0.25176486,raw_audio,0.5617678522319227,0.34099999999999997,128000,True,False,18.269407
engine_idling,engine_idling,engine_idling,0.4111033,0.08213663,raw_audio,0.5458890643531349,0.34099999999999997,128000,True,False,17.686287
engine_idling,engine_idling,engine_idling,0.42747998,0.12435728,raw_audio,0.5284772996472525,0.34099999999999997,128000,True,False,18.095608
