true_label,edge_pred,final_pred,confidence,route,threshold_used,transmitted_bytes,used_cloud,embedding_l2,embedding_dim
car_horn,gun_shot,car_horn,0.3361419,raw_audio,0.6200000000000001,128000,True,13.193479,128
car_horn,gun_shot,car_horn,0.43538553,raw_audio,0.6080000000000001,128000,True,13.876112,128
car_horn,gun_shot,car_horn,0.29923433,raw_audio,0.5960000000000001,128000,True,13.2621155,128
car_horn,gun_shot,car_horn,0.44500223,embedding,0.5840000000000001,256,True,13.630257,128
car_horn,gun_shot,car_horn,0.28734297,raw_audio,0.5869700000000001,128000,True,11.622952,128
dog_bark,dog_bark,dog_bark,0.735079,alert_only,0.513946,64,False,19.061266,128
dog_bark,dog_bark,dog_bark,0.8682604,alert_only,0.5169210000000001,64,False,21.502472,128
dog_bark,dog_bark,dog_bark,0.81013376,alert_only,0.522038142857143,64,False,19.9473,128
dog_bark,dog_bark,dog_bark,0.8588279,alert_only,0.528761892857143,64,False,21.354979,128
children_playing,street_music,children_playing,0.34748828,raw_audio,0.5077352261904764,128000,True,27.122318,128
children_playing,dog_bark,children_playing,0.35120615,raw_audio,0.5427112261904764,128000,True,28.073727,128
children_playing,dog_bark,dog_bark,0.87120634,alert_only,0.5470530443722945,64,False,22.33274,128
children_playing,dog_bark,children_playing,0.4853779,embedding,0.5550305443722945,256,True,23.013363,128
children_playing,children_playing,children_playing,0.59640527,alert_only,0.5420774674492176,64,False,25.490286,128
children_playing,street_music,siren,0.30350184,raw_audio,0.5486188960206461,128000,True,27.555077,128
children_playing,dog_bark,children_playing,0.3502011,raw_audio,0.5875908960206461,128000,True,25.524652,128
children_playing,dog_bark,children_playing,0.5935004,embedding,0.5961896460206461,256,True,17.709051,128
dog_bark,gun_shot,drilling,0.32091987,raw_audio,0.6800990577853521,128000,True,13.567775,128
dog_bark,gun_shot,dog_bark,0.34896505,raw_audio,0.6897357244520188,128000,True,13.651788,128
engine_idling,engine_idling,engine_idling,0.4367124,raw_audio,0.6042336191888609,128000,True,13.679833,128
engine_idling,engine_idling,engine_idling,0.44481057,raw_audio,0.6102066191888609,128000,True,13.489666,128
engine_idling,engine_idling,engine_idling,0.40001923,raw_audio,0.6138951906174324,128000,True,14.221682,128
engine_idling,engine_idling,engine_idling,0.4089208,raw_audio,0.6155070087992505,128000,True,13.555953,128
engine_idling,engine_idling,engine_idling,0.41219258,raw_audio,0.6152226609731636,128000,True,13.217756,128
engine_idling,engine_idling,engine_idling,0.3924501,raw_audio,0.6132001609731635,128000,True,13.190985,128
engine_idling,engine_idling,engine_idling,0.35336876,raw_audio,0.6095785609731635,128000,True,12.530658,128
engine_idling,engine_idling,engine_idling,0.3758151,raw_audio,0.6044808686654712,128000,True,12.872993,128
engine_idling,engine_idling,engine_idling,0.40956807,raw_audio,0.5980164242210267,128000,True,12.955608,128
engine_idling,engine_idling,engine_idling,0.43555358,raw_audio,0.5902828527924553,128000,True,13.2432995,128
engine_idling,engine_idling,engine_idling,0.39006612,raw_audio,0.5813676803786623,128000,True,13.451597,128
engine_idling,engine_idling,engine_idling,0.38365695,raw_audio,0.5713496803786623,128000,True,13.24296,128
engine_idling,engine_idling,engine_idling,0.43851158,embedding,0.5603000029593075,256,True,13.860244,128
engine_idling,engine_idling,engine_idling,0.40042502,embedding,0.5501543779593076,256,True,13.634527,128
engine_idling,engine_idling,engine_idling,0.3951496,embedding,0.5408580143229439,256,True,13.689313,128
engine_idling,engine_idling,engine_idling,0.39303583,embedding,0.5323609554994144,256,True,13.702022,128
engine_idling,engine_idling,engine_idling,0.40187454,embedding,0.5246175269279859,256,True,13.00897,128
engine_idling,engine_idling,engine_idling,0.39685115,embedding,0.5175858602613193,256,True,12.633475,128
engine_idling,engine_idling,engine_idling,0.4014132,embedding,0.5112274818829409,256,True,13.519927,128
engine_idling,engine_idling,engine_idling,0.39510933,embedding,0.5055069555671514,256,True,13.807223,128
engine_idling,engine_idling,engine_idling,0.41556242,embedding,0.5003915709517668,256,True,13.574155,128
engine_idling,engine_idling,engine_idling,0.39629203,embedding,0.4958510709517667,256,True,13.007531,128
engine_idling,engine_idling,engine_idling,0.3569624,embedding,0.4918574124151813,256,True,12.641318,128
engine_idling,engine_idling,engine_idling,0.44072726,embedding,0.48838455527232416,256,True,13.843731,128
engine_idling,engine_idling,engine_idling,0.40539902,embedding,0.48540827620255667,256,True,13.276642,128
engine_idling,engine_idling,engine_idling,0.44818136,embedding,0.4829060034752839,256,True,13.890219,128
engine_idling,engine_idling,engine_idling,0.43863228,embedding,0.48085667014195055,256,True,13.712822,128
engine_idling,engine_idling,engine_idling,0.40213013,embedding,0.4792405831854287,256,True,13.781341,128
engine_idling,engine_idling,engine_idling,0.41208804,embedding,0.4780393065896841,256,True,14.006181,128
engine_idling,engine_idling,engine_idling,0.4158154,embedding,0.4772355565896841,256,True,13.775722,128
engine_idling,engine_idling,engine_idling,0.41827062,embedding,0.4768131076100922,256,True,13.813383,128
engine_idling,jackhammer,engine_idling,0.26322535,raw_audio,0.49775670761009216,128000,True,13.235547,128
engine_idling,siren,engine_idling,0.42249858,embedding,0.5597003076100922,256,True,13.249034,128
engine_idling,siren,engine_idling,0.32665563,raw_audio,0.5608415076100921,128000,True,13.97427,128
engine_idling,engine_idling,engine_idling,0.86456645,alert_only,0.478982707610092,64,False,22.197369,128
engine_idling,engine_idling,engine_idling,0.8275186,alert_only,0.47952570761009206,64,False,21.835394,128
engine_idling,engine_idling,engine_idling,0.8147507,alert_only,0.48066810761009204,64,False,21.392773,128
engine_idling,engine_idling,engine_idling,0.805874,alert_only,0.48181050761009203,64,False,21.40174,128
